,index,GPR126,mut_status,xx
0,HTMCP-03-06-02001,11.1634,False,2
1,HTMCP-03-06-02002,1.8584,False,2
2,HTMCP-03-06-02003,7.9967,False,2
3,HTMCP-03-06-02006,4.7846,False,2
4,HTMCP-03-06-02008,6.084,False,2
5,HTMCP-03-06-02012,9.0988,False,2
6,HTMCP-03-06-02013,4.3152,False,2
7,HTMCP-03-06-02020,4.371,False,2
8,HTMCP-03-06-02036,9.6589,False,2
9,HTMCP-03-06-02037,2.9684,False,2
10,HTMCP-03-06-02040,4.232,False,2
11,HTMCP-03-06-02042,6.142,False,2
12,HTMCP-03-06-02046,4.5886,False,2
13,HTMCP-03-06-02047,5.1561,False,2
14,HTMCP-03-06-02054,3.625,False,2
15,HTMCP-03-06-02057,4.8441,False,2
16,HTMCP-03-06-02058,4.9589,True,1
17,HTMCP-03-06-02063,2.7595,True,1
18,HTMCP-03-06-02068,2.2578,False,2
19,HTMCP-03-06-02070,7.9648,False,2
20,HTMCP-03-06-02071,6.5583,False,2
21,HTMCP-03-06-02074,6.8242,False,2
22,HTMCP-03-06-02075,6.7948,True,1
23,HTMCP-03-06-02076,23.5194,False,2
24,HTMCP-03-06-02089,3.2431,False,2
25,HTMCP-03-06-02092,6.9616,False,2
26,HTMCP-03-06-02097,3.8085,False,2
27,HTMCP-03-06-02098,4.8781,False,2
28,HTMCP-03-06-02099,1.9489,False,2
29,HTMCP-03-06-02103,15.137,False,2
30,HTMCP-03-06-02108,7.4436,False,2
31,HTMCP-03-06-02109,2.4930000000000003,False,2
32,HTMCP-03-06-02110,11.2253,False,2
33,HTMCP-03-06-02113,6.8976,False,2
34,HTMCP-03-06-02120,3.9431,False,2
35,HTMCP-03-06-02125,3.8176,False,2
36,HTMCP-03-06-02128,4.0048,False,2
37,HTMCP-03-06-02139,4.6739999999999995,False,2
38,HTMCP-03-06-02144,4.4483,False,2
39,HTMCP-03-06-02145,5.8672,False,2
40,HTMCP-03-06-02147,5.7006,False,2
41,HTMCP-03-06-02148,1.2999,True,1
42,HTMCP-03-06-02149,2.1696,False,2
43,HTMCP-03-06-02150,3.1162,False,2
44,HTMCP-03-06-02151,5.3912,False,2
45,HTMCP-03-06-02152,9.2989,False,2
46,HTMCP-03-06-02155,1.0511,False,2
47,HTMCP-03-06-02156,6.0982,False,2
48,HTMCP-03-06-02170,5.3537,False,2
49,HTMCP-03-06-02174,4.4791,False,2
50,HTMCP-03-06-02175,6.7853,False,2
51,HTMCP-03-06-02176,5.5859,False,2
52,HTMCP-03-06-02179,0.6882,False,2
53,HTMCP-03-06-02180,0.9420000000000001,False,2
54,HTMCP-03-06-02182,0.9875,False,2
55,HTMCP-03-06-02185,12.62,False,2
56,HTMCP-03-06-02194,3.8912,False,2
57,HTMCP-03-06-02195,1.4801,False,2
58,HTMCP-03-06-02196,3.4930000000000003,False,2
59,HTMCP-03-06-02197,24.1684,False,2
60,HTMCP-03-06-02202,1.3953,False,2
61,HTMCP-03-06-02203,3.1968,True,1
62,HTMCP-03-06-02204,4.2836,False,2
63,HTMCP-03-06-02205,1.246,False,2
64,HTMCP-03-06-02209,2.9673,False,2
65,HTMCP-03-06-02210,2.5417,True,1
66,HTMCP-03-06-02213,6.4984,False,2
67,HTMCP-03-06-02214,1.6223,True,1
68,HTMCP-03-06-02215,5.2498,False,2
69,HTMCP-03-06-02216,14.2121,False,2
70,HTMCP-03-06-02217,6.4565,False,2
71,HTMCP-03-06-02219,2.4318,False,2
72,HTMCP-03-06-02222,1.5736,False,2
73,HTMCP-03-06-02225,2.8198,False,2
74,HTMCP-03-06-02230,10.9876,False,2
75,HTMCP-03-06-02235,0.11599999999999999,False,2
76,HTMCP-03-06-02238,2.7310000000000003,False,2
77,HTMCP-03-06-02239,2.256,False,2
78,HTMCP-03-06-02240,4.8459,False,2
79,HTMCP-03-06-02242,3.7247,False,2
80,HTMCP-03-06-02256,9.4996,False,2
81,HTMCP-03-06-02259,4.974,False,2
82,HTMCP-03-06-02260,7.2101,True,1
83,HTMCP-03-06-02261,1.1438,False,2
84,HTMCP-03-06-02262,5.0812,False,2
85,HTMCP-03-06-02264,1.8881,False,2
86,HTMCP-03-06-02266,7.1219,False,2
87,HTMCP-03-06-02267,16.4646,False,2
88,HTMCP-03-06-02268,6.0488,False,2
89,HTMCP-03-06-02320,13.0108,False,2
90,HTMCP-03-06-02322,4.5694,False,2
91,HTMCP-03-06-02326,11.5659,True,1
92,HTMCP-03-06-02328,1.2842,False,2
93,HTMCP-03-06-02330,10.6998,False,2
94,HTMCP-03-06-02332,6.8867,False,2
95,HTMCP-03-06-02333,5.9647,True,1
96,HTMCP-03-06-02335,7.9966,False,2
97,HTMCP-03-06-02340,6.0226,False,2
98,HTMCP-03-06-02341,6.3553,False,2
99,HTMCP-03-06-02344,4.9169,False,2
100,HTMCP-03-06-02346,6.5996,True,1
101,HTMCP-03-06-02354,5.1797,False,2
102,HTMCP-03-06-02377,11.9633,False,2
103,HTMCP-03-06-02392,8.3017,False,2
104,HTMCP-03-06-02393,4.6703,False,2
105,HTMCP-03-06-02396,6.7872,False,2
106,HTMCP-03-06-02411,4.0269,False,2
107,HTMCP-03-06-02414,0.4869,False,2
108,HTMCP-03-06-02417,1.3768,False,2
109,HTMCP-03-06-02424,2.6492,False,2
110,HTMCP-03-06-02427,2.8117,False,2
111,HTMCP-03-06-02428,4.5344,False,2
112,HTMCP-03-06-02434,6.6339,False,2
113,HTMCP-03-06-02435,6.162000000000001,False,2
114,HTMCP-03-06-02437,3.57,False,2
115,HTMCP-03-06-02441,0.5511,False,2
116,HTMCP-03-06-02442,1.6851,False,2
117,HTMCP-03-06-02447,4.0439,False,2
